"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3498","When user login with bobe@example.com and 10203040 and click on login button","","Sun Sep 08 13:10:31 IST 2024","passed","Sun Sep 08 13:10:35 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","302","Given user is on the login page","","Sun Sep 08 13:10:31 IST 2024","passed","Sun Sep 08 13:10:31 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","3248","When user login with bob@example.com and  and click on login button","","Sun Sep 08 13:10:26 IST 2024","passed","Sun Sep 08 13:10:29 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","3879","When user login with alice@example.com and 10203040 and click on login button","","Sun Sep 08 13:10:07 IST 2024","passed","Sun Sep 08 13:10:11 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","3528","When user login with 1@2.com and f-o-o and click on login button","","Sun Sep 08 13:10:15 IST 2024","passed","Sun Sep 08 13:10:18 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","3717","When user login with  and  and click on login button","","Sun Sep 08 13:10:20 IST 2024","passed","Sun Sep 08 13:10:24 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","1602","Then verify user should see Username is required","","Sun Sep 08 13:10:24 IST 2024","passed","Sun Sep 08 13:10:26 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","1525","Then verify user should see Username and password do not match any user in this service.","","Sun Sep 08 13:10:35 IST 2024","passed","Sun Sep 08 13:10:36 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
"","1","hook:","","Sun Sep 08 13:10:36 IST 2024","failed","Sun Sep 08 13:10:36 IST 2024","","","",""
"","1333","Then verify user should see Password is required","","Sun Sep 08 13:10:29 IST 2024","passed","Sun Sep 08 13:10:31 IST 2024","","the saucelab login app test: As a user, I want to test login functionality with invalid different data sets","",""
